img_fp,l0,l1,l2,l3
"('intermediary/split_data/test/TCGA-DD-A73C-01Z-00-DX2.616264EE-93CE-4E2F-A4DA-1CD3663A4F3C.png',)",1.3554301,1.6770335,0.74254245,1.0095276
"('intermediary/split_data/test/TCGA-K7-A6G5-01Z-00-DX1.6681DB17-D11D-40DE-829C-2DB425BD3083.png',)",1.513917,1.1900713,2.5496328,2.0659225
"('intermediary/split_data/test/TCGA-A6-6141-01Z-00-DX1.34b5db5c-74df-47d9-bb89-beec93ded868.png',)",1.7361437,0.9192019,1.1047493,0.77927846
"('intermediary/split_data/test/TCGA-S9-A7QW-01Z-00-DX1.C07FEA9E-6FED-46C9-9133-11A18A877832.png',)",0.74670076,0.64174646,1.5722952,0.9929531
"('intermediary/split_data/test/TCGA-A3-A6NL-01Z-00-DX1.7796AE2F-CC39-4266-A740-DBB04ACA869D.png',)",0.63800365,0.6579883,0.6392763,1.5049423
"('intermediary/split_data/test/TCGA-BK-A0CB-01Z-00-DX2.FF5ACD4B-276F-4530-AC93-490CE8C1C394.png',)",0.6459694,0.6458234,0.64279896,0.6484198
"('intermediary/split_data/test/TCGA-86-A4D0-01Z-00-DX1.165461AD-A8DA-4B7B-87CE-F5DBDBD2C0A7.png',)",2.2947552,1.493643,1.7131684,1.2107686
"('intermediary/split_data/test/TCGA-BS-A0V8-01Z-00-DX1.2B314AB8-5C6D-41A2-9DAA-D960453F982C.png',)",1.7798626,2.4289384,1.3277843,1.9546545
"('intermediary/split_data/test/TCGA-EY-A1GT-01Z-00-DX1.670FBAA0-500C-403E-9F06-42DB61CB6EB1.png',)",0.6415347,0.64240074,1.6200054,1.5510123
"('intermediary/split_data/test/TCGA-BP-4335-01Z-00-DX1.95cac7ed-483b-40d7-8bbc-dcd0920cc342.png',)",1.0043727,0.9781419,2.5625114,1.7700815
"('intermediary/split_data/test/TCGA-FG-8188-01Z-00-DX3.0238ac4e-c4ea-486e-9884-7853729294a9.png',)",0.8737941,2.2695065,0.7128393,1.447026
"('intermediary/split_data/test/TCGA-EJ-5517-01Z-00-DX1.7df66a54-404a-4b7d-a316-4ae6383c3afd.png',)",2.1911905,1.5640557,1.5266428,1.044094
"('intermediary/split_data/test/TCGA-OR-A5LS-01Z-00-DX4.EFCEBF05-2325-49C0-994E-FCC085E0E8DC.png',)",2.2722921,1.8840277,1.8052214,1.2922829
"('intermediary/split_data/test/TCGA-J8-A3YG-01Z-00-DX1.90543E1C-230E-4552-8FA2-D63D2453DD71.png',)",1.3715042,1.0899943,1.937895,2.0860207
"('intermediary/split_data/test/TCGA-D1-A1NZ-01Z-00-DX1.2471EA38-F9ED-448B-8B3E-3CCF4735D997.png',)",2.274529,1.571509,2.1062791,1.1114545
"('intermediary/split_data/test/TCGA-55-8097-01Z-00-DX1.2f847b65-a5dc-41be-9dd0-a1e11df3cd10.png',)",0.63800365,1.1793989,0.63800365,0.7486821
"('intermediary/split_data/test/TCGA-VP-A87H-01Z-00-DX1.AE5FAB92-3282-404D-BD0C-699746F7915E.png',)",0.66897315,0.95112455,1.1123487,2.3807957
"('intermediary/split_data/test/TCGA-AX-A064-01Z-00-DX1.A02C21B6-BE89-409A-854D-980EEFC9FBD9.png',)",2.3619401,1.8660352,1.7677392,1.6576105
"('intermediary/split_data/test/TCGA-D1-A165-01Z-00-DX1.4D3F221A-EE3B-4F39-8AD6-15A1C36384BB.png',)",1.0725055,1.1654973,2.1116393,2.2218
"('intermediary/split_data/test/TCGA-HT-7684-01Z-00-DX2.05D7C8C8-2DDB-4722-A4F9-466FDBCD66AA.png',)",2.549196,1.7308735,1.9855767,0.92997104
"('intermediary/split_data/test/TCGA-HT-7693-01Z-00-DX3.DB0FD2D2-082F-4CAC-A0E7-58BAACCA5299.png',)",1.3544167,1.2057332,0.81472355,0.72107756
"('intermediary/split_data/test/TCGA-KK-A8IF-01Z-00-DX1.D89CE36A-8166-4CA5-82DE-A937ABBF14D0.png',)",0.91780025,0.7976307,2.205531,1.9944856
"('intermediary/split_data/test/TCGA-D1-A16Y-01Z-00-DX1.33F73EE3-E86C-4402-9118-BC215EBACDA6.png',)",0.645931,1.0480688,0.81406474,2.0068462
"('intermediary/split_data/test/TCGA-DB-A4XE-01Z-00-DX2.895DAAFB-F994-4D4A-BCD7-30533BF94DC7.png',)",0.85481244,2.1454659,0.81239206,1.3371252
"('intermediary/split_data/test/TCGA-KS-A4IC-01Z-00-DX1.D1006BB8-CB26-47DD-A79E-DC00D29D6246.png',)",1.0159166,2.169127,0.8594977,1.7193393
"('intermediary/split_data/test/TCGA-E8-A432-01Z-00-DX1.8EA5D532-A619-4E7B-9BD2-5415C05E8B73.png',)",2.435449,1.5355307,1.7441629,1.0485498
"('intermediary/split_data/test/TCGA-D1-A2G6-01Z-00-DX1.A57A4F81-DE2D-434C-AF88-EAB77DD96FBB.png',)",1.1485994,0.8193847,2.265595,1.2480335
"('intermediary/split_data/test/TCGA-HT-7480-01Z-00-DX3.080C61F8-C362-434E-A58C-43793DC8AA2F.png',)",0.63800365,0.73305666,0.9557046,2.0927408
"('intermediary/split_data/test/TCGA-HT-7605-01Z-00-DX4.05B0D4D8-29B6-4547-B3C0-22B547BDC061.png',)",1.1555995,0.9141802,2.4137378,2.0117092
"('intermediary/split_data/test/TCGA-3Z-A93Z-01Z-00-DX1.79F4D1A6-ACDB-4AB1-B8A8-C1CEE617C734.png',)",2.5212984,1.5238277,2.054893,1.3988298
"('intermediary/split_data/test/TCGA-DH-5143-01Z-00-DX1.DD05DCF6-FF16-47A3-B3EF-FCB89F6C8566.png',)",0.63947284,0.6678114,1.0034183,1.9787064
"('intermediary/split_data/test/TCGA-DB-A4XD-01Z-00-DX1.9CEDBD64-B9D3-4F8C-B51F-4E00085742A1.png',)",0.63893694,0.6383223,1.264596,1.0646063
"('intermediary/split_data/test/TCGA-OU-A5PI-01Z-00-DX5.8D95003F-113E-42A0-BACC-06F42528D4B6.png',)",1.4856085,2.1523595,0.8710978,1.2984903
"('intermediary/split_data/test/TCGA-FS-A1ZN-01Z-00-DX5.2BE51074-7E23-41C0-A3EA-1A84BF812048.png',)",0.63800365,0.710102,0.86616313,0.9924845
"('intermediary/split_data/test/TCGA-78-8660-01Z-00-DX1.11E923ED-C01B-439D-8796-08C9E3DC2D93.png',)",1.5017817,2.2873476,0.9905372,1.7537816
"('intermediary/split_data/test/TCGA-DC-5337-01Z-00-DX1.5ef2af22-210a-4767-a12b-92af0376c505.png',)",2.0045063,1.9423956,2.0235734,1.2922529
"('intermediary/split_data/test/TCGA-B0-5088-01Z-00-DX1.69bb79f8-33cc-4c9c-be63-323e5470fdde.png',)",1.4254798,1.0211084,2.440232,1.3857157
"('intermediary/split_data/test/TCGA-DB-5270-01Z-00-DX1.E0795F24-4D23-408A-8871-2675EC577C23.png',)",0.8770703,1.339224,1.0688847,2.3041327
"('intermediary/split_data/test/TCGA-J8-A3O2-01Z-00-DX1.685865AB-D824-4107-9842-25FBD02957A3.png',)",2.1559193,2.0716863,1.8163235,1.7333165
"('intermediary/split_data/test/TCGA-78-7539-01Z-00-DX1.b838d859-2fb7-48d1-a442-d366ac404099.png',)",1.6887068,2.514373,1.6194258,1.9632888
"('intermediary/split_data/test/TCGA-VM-A8CH-01Z-00-DX2.DC834C4C-ADA5-436C-80DD-303E45917C35.png',)",1.2842498,2.3556292,1.4806879,1.8472543
"('intermediary/split_data/test/TCGA-A5-A1OK-01Z-00-DX1.AAB2FF86-441F-4A01-9157-AA606E3206D5.png',)",2.358708,1.9170318,1.8295041,1.4164133
"('intermediary/split_data/test/TCGA-EL-A3TB-01Z-00-DX1.15F169A5-CC16-4DBD-94BD-E4EB982E52BE.png',)",1.3425138,2.3850336,1.1042587,1.4235995
"('intermediary/split_data/test/TCGA-AX-A1C9-01Z-00-DX1.0E04075D-67F1-4734-B6AF-0AC94DDBEEB2.png',)",2.3870595,1.9705727,1.8636788,1.7676396
"('intermediary/split_data/test/TCGA-AJ-A3BI-01Z-00-DX1.927F62FA-01FF-454B-B823-63E302A24FC0.png',)",0.82154995,0.7606229,2.0094144,1.3016893
"('intermediary/split_data/test/TCGA-V1-A9O9-01Z-00-DX1.64BAA5D4-8C59-4698-8FF9-D8FC156827A5.png',)",2.3071382,1.6984631,1.4464878,1.2753742
"('intermediary/split_data/test/TCGA-TP-A8TT-01Z-00-DX1.652EA809-D931-46EE-80C9-0551C16DF822.png',)",2.2420604,1.9876213,1.5918696,1.2842525
"('intermediary/split_data/test/TCGA-BP-4976-01Z-00-DX1.da190cd4-651e-47d9-8573-afb8395c02bc.png',)",0.76808083,1.1965541,1.1592538,2.5017333
"('intermediary/split_data/test/TCGA-DD-A39Y-01Z-00-DX1.1E9A1503-77C9-4CF4-9F20-E4A22F95D39E.png',)",0.6483784,1.0479232,0.8874191,2.1862404
"('intermediary/split_data/test/TCGA-AX-A0IZ-01Z-00-DX1.BBE179A4-C1A1-478D-B30F-EBF999B34930.png',)",1.5378292,2.4206326,0.9034242,1.8471221
"('intermediary/split_data/test/TCGA-55-8511-01Z-00-DX1.8EDFB05B-5B59-46EA-973C-1048B1E284D2.png',)",0.63800365,0.63800365,0.63800365,1.1972553
"('intermediary/split_data/test/TCGA-55-6971-01Z-00-DX1.6c790768-8252-466a-95e1-97d2086a8132.png',)",0.6388054,1.4397284,0.6384069,0.8643109
"('intermediary/split_data/test/TCGA-D1-A177-01Z-00-DX1.C2BC53F3-F7D7-4ED0-93BB-303A4D8AE602.png',)",1.4626824,1.3680845,2.2906213,2.2040462
"('intermediary/split_data/test/TCGA-G9-6499-01Z-00-DX1.4d60a36f-fccc-44b5-b8df-360fbc704c23.png',)",1.7725943,2.4746575,1.4800067,1.8248849
"('intermediary/split_data/test/TCGA-49-4506-01Z-00-DX2.81e180ae-bd9f-49cc-9a0f-297800cc7280.png',)",1.717675,2.3424928,1.0013013,1.8071218
"('intermediary/split_data/test/TCGA-BP-5184-01Z-00-DX1.b682d92b-fc7b-4a8c-a0f3-d1e3a309f136.png',)",0.85397696,2.3060446,0.6910476,1.5875611
"('intermediary/split_data/test/TCGA-Y6-A9XI-01Z-00-DX1.BCEC7405-546D-4CF3-90F3-9620C0A74B63.png',)",0.6606485,0.7940624,0.8834271,1.9389188
"('intermediary/split_data/test/TCGA-HC-7821-01Z-00-DX1.85c082ca-1159-4cd1-b003-fed32f2ddf9e.png',)",0.63800365,0.63802826,0.69498175,1.6095964
"('intermediary/split_data/test/TCGA-HT-7608-01Z-00-DX4.0033D152-AAC0-4BCA-8E34-07F4385F92D1.png',)",1.2938778,0.89663553,2.47911,1.6445893
"('intermediary/split_data/test/TCGA-BP-4999-01Z-00-DX1.e78eaded-4e89-4bcf-b3fe-3e7b8db7f2c2.png',)",0.85831404,1.8802414,0.64766634,1.505371
